,armoede,duurzame consumptie,economische groei,ecosystemen,energie,gendergelijkheid,gezondheid,honger,innovatie,klimaatverandering,oceanen,onderwijs,ongelijkheid,partnerschappen,steden,vreedzame,water
PvdA,51.0,44.0,282.0,37.0,88.0,213.0,252.0,84.0,22.0,47.0,384.0,205.0,291.0,84.0,83.0,134.0,82.0
PvdD,3.0,29.0,20.0,149.0,20.0,10.0,33.0,71.0,9.0,48.0,95.0,10.0,6.0,7.0,17.0,22.0,40.0
SGP,1.0,2.0,4.0,11.0,5.0,22.0,14.0,8.0,0.0,4.0,52.0,9.0,46.0,13.0,5.0,36.0,5.0
SP,35.0,59.0,212.0,61.0,85.0,144.0,359.0,98.0,32.0,87.0,418.0,310.0,168.0,90.0,41.0,177.0,103.0
VNL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VVD,1.0,27.0,26.0,38.0,62.0,24.0,44.0,40.0,16.0,53.0,226.0,44.0,92.0,84.0,51.0,74.0,38.0
Van Klaveren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Van Vliet,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Verdonk,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,0.0,6.0,0.0
beide VVD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
groep Bontes/Van  Klaveren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
groep Kuzu/Öztürk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
van de PvdA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
